"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3997","Размер изображения соответствует размеру карточки товара","chromium","Wed Jul 02 08:32:26 GMT 2025","passed","Wed Jul 02 08:32:30 GMT 2025","","","",""
"","4104","Отображение описания товара в карточке","chromium","Wed Jul 02 08:32:15 GMT 2025","passed","Wed Jul 02 08:32:19 GMT 2025","","","",""
"","6574","Переход на страницу производителя товара","chromium","Wed Jul 02 08:32:19 GMT 2025","passed","Wed Jul 02 08:32:26 GMT 2025","","","",""
"","13523","Написание комментария к товару","chromium","Wed Jul 02 08:32:01 GMT 2025","passed","Wed Jul 02 08:32:15 GMT 2025","","","",""
"","5508","Переход к горящему товару","chromium","Wed Jul 02 08:32:30 GMT 2025","passed","Wed Jul 02 08:32:35 GMT 2025","","","",""
