"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3881","Отображение описания товара в карточке","chromium","Wed Jul 02 09:25:02 GMT 2025","passed","Wed Jul 02 09:25:06 GMT 2025","","","",""
"","3995","Размер изображения соответствует размеру карточки товара","chromium","Wed Jul 02 09:25:13 GMT 2025","passed","Wed Jul 02 09:25:17 GMT 2025","","","",""
"","12862","Написание комментария к товару","chromium","Wed Jul 02 09:24:49 GMT 2025","passed","Wed Jul 02 09:25:02 GMT 2025","","","",""
"","7075","Переход на страницу производителя товара","chromium","Wed Jul 02 09:25:06 GMT 2025","passed","Wed Jul 02 09:25:13 GMT 2025","","","",""
"","7243","Переход к горящему товару","chromium","Wed Jul 02 09:25:17 GMT 2025","passed","Wed Jul 02 09:25:24 GMT 2025","","","",""
