"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12894","Написание комментария к товару","chromium","Wed Jul 02 09:36:18 GMT 2025","passed","Wed Jul 02 09:36:31 GMT 2025","","","",""
"","6576","Переход на страницу производителя товара","chromium","Wed Jul 02 09:36:35 GMT 2025","passed","Wed Jul 02 09:36:42 GMT 2025","","","",""
"","3982","Отображение описания товара в карточке","chromium","Wed Jul 02 09:36:31 GMT 2025","passed","Wed Jul 02 09:36:35 GMT 2025","","","",""
"","3944","Размер изображения соответствует размеру карточки товара","chromium","Wed Jul 02 09:36:42 GMT 2025","passed","Wed Jul 02 09:36:46 GMT 2025","","","",""
"","4894","Переход к горящему товару","chromium","Wed Jul 02 09:36:46 GMT 2025","passed","Wed Jul 02 09:36:51 GMT 2025","","","",""
