"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5673","Переход к горящему товару","chromium","Wed Jul 02 09:14:40 GMT 2025","passed","Wed Jul 02 09:14:46 GMT 2025","","","",""
"","3916","Размер изображения соответствует размеру карточки товара","chromium","Wed Jul 02 09:14:36 GMT 2025","passed","Wed Jul 02 09:14:40 GMT 2025","","","",""
"","13321","Написание комментария к товару","chromium","Wed Jul 02 09:14:10 GMT 2025","passed","Wed Jul 02 09:14:24 GMT 2025","","","",""
"","5974","Переход на страницу производителя товара","chromium","Wed Jul 02 09:14:30 GMT 2025","passed","Wed Jul 02 09:14:36 GMT 2025","","","",""
"","3804","Отображение описания товара в карточке","chromium","Wed Jul 02 09:14:26 GMT 2025","passed","Wed Jul 02 09:14:30 GMT 2025","","","",""
