"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10021","Переход на страницу производителя товара","chromium","Wed Jul 02 08:12:48 GMT 2025","passed","Wed Jul 02 08:12:58 GMT 2025","","","",""
"","5141","Отображение описания товара в карточке","chromium","Wed Jul 02 08:12:43 GMT 2025","passed","Wed Jul 02 08:12:48 GMT 2025","","","",""
"","3384","Размер изображения соответствует размеру карточки товара","chromium","Wed Jul 02 08:12:58 GMT 2025","passed","Wed Jul 02 08:13:01 GMT 2025","","","",""
"","5807","Переход к горящему товару","chromium","Wed Jul 02 08:13:01 GMT 2025","passed","Wed Jul 02 08:13:07 GMT 2025","","","",""
"","12937","Написание комментария к товару","chromium","Wed Jul 02 08:12:28 GMT 2025","passed","Wed Jul 02 08:12:41 GMT 2025","","","",""
