"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3903","Отображение описания товара в карточке","chromium","Wed Jul 02 09:43:43 GMT 2025","passed","Wed Jul 02 09:43:47 GMT 2025","","","",""
"","6144","Переход на страницу производителя товара","chromium","Wed Jul 02 09:43:47 GMT 2025","passed","Wed Jul 02 09:43:53 GMT 2025","","","",""
"","3211","Размер изображения соответствует размеру карточки товара","chromium","Wed Jul 02 09:43:53 GMT 2025","passed","Wed Jul 02 09:43:56 GMT 2025","","","",""
"","4544","Переход к горящему товару","chromium","Wed Jul 02 09:43:56 GMT 2025","passed","Wed Jul 02 09:44:01 GMT 2025","","","",""
"","12934","Написание комментария к товару","chromium","Wed Jul 02 09:43:30 GMT 2025","passed","Wed Jul 02 09:43:43 GMT 2025","","","",""
