"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4622","Переход к горящему товару","chromium","Wed Jul 02 09:07:02 GMT 2025","passed","Wed Jul 02 09:07:07 GMT 2025","","","",""
"","14352","Написание комментария к товару","chromium","Wed Jul 02 09:06:34 GMT 2025","passed","Wed Jul 02 09:06:49 GMT 2025","","","",""
"","5941","Переход на страницу производителя товара","chromium","Wed Jul 02 09:06:52 GMT 2025","passed","Wed Jul 02 09:06:58 GMT 2025","","","",""
"","3648","Отображение описания товара в карточке","chromium","Wed Jul 02 09:06:49 GMT 2025","passed","Wed Jul 02 09:06:52 GMT 2025","","","",""
"","3483","Размер изображения соответствует размеру карточки товара","chromium","Wed Jul 02 09:06:58 GMT 2025","passed","Wed Jul 02 09:07:02 GMT 2025","","","",""
