"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4164","Отображение описания товара в карточке","chromium","Wed Jul 02 09:40:21 GMT 2025","passed","Wed Jul 02 09:40:25 GMT 2025","","","",""
"","5208","Переход к горящему товару","chromium","Wed Jul 02 09:40:36 GMT 2025","passed","Wed Jul 02 09:40:42 GMT 2025","","","",""
"","13444","Написание комментария к товару","chromium","Wed Jul 02 09:40:07 GMT 2025","passed","Wed Jul 02 09:40:20 GMT 2025","","","",""
"","3450","Размер изображения соответствует размеру карточки товара","chromium","Wed Jul 02 09:40:33 GMT 2025","passed","Wed Jul 02 09:40:36 GMT 2025","","","",""
"","8025","Переход на страницу производителя товара","chromium","Wed Jul 02 09:40:25 GMT 2025","passed","Wed Jul 02 09:40:33 GMT 2025","","","",""
